ticker,entry_date,entry_price,exit_date,exit_price,shares,pnl_pct,pnl_dollar,holding_days,exit_reason
CF,2015-01-06,41.4,2015-01-15,42.29,24153,2.14,21437.65,9,下穿68
ELV,2015-01-15,114.09,2015-01-27,117.23,8952,2.75,28106.47,12,下穿68
FICO,2015-01-27,79.14,2015-01-30,71.22,13261,-10.0,-104973.37,3,下穿68
AOS,2015-01-30,24.78,2015-03-03,26.44,38125,6.71,63402.46,32,下穿68
VRTX,2015-03-03,123.52,2015-03-11,122.64,8160,-0.71,-7180.78,8,下穿68
BBY,2015-03-12,27.33,2015-03-25,26.86,36612,-1.75,-17543.16,13,下穿68
VLO,2015-03-25,41.64,2015-04-02,39.04,23611,-6.24,-61354.34,8,下穿68
DHI,2015-04-02,25.69,2015-04-07,24.82,35882,-3.38,-31142.63,5,下穿68
CL=F,2015-04-07,53.98,2015-04-08,50.42,16501,-6.6,-58743.58,1,下穿68
BLDR,2015-04-08,7.0,2015-05-01,12.91,118858,84.43,702450.76,23,下穿68
FTNT,2015-05-01,7.68,2015-05-13,7.69,199903,0.16,2398.85,12,下穿68
NG=F,2015-05-13,2.93,2015-05-20,2.91,523631,-0.68,-10472.61,7,下穿68
EXPE,2015-05-20,99.43,2015-05-28,103.12,15351,3.71,56630.82,8,下穿68
EPAM,2015-05-28,72.01,2015-06-08,70.22,21983,-2.49,-39349.59,11,下穿68
PODD,2015-06-10,30.25,2015-06-30,30.99,51030,2.45,37762.19,20,下穿68
DXCM,2015-07-06,19.93,2015-07-27,20.42,79359,2.5,39481.06,21,下穿68
CRL,2015-07-28,76.35,2015-08-06,73.96,21229,-3.13,-50737.3,9,下穿68
MAS,2015-08-06,22.58,2015-08-21,22.65,69546,0.34,5344.67,15,下穿68
BBY,2015-08-28,24.67,2015-09-18,25.9,63861,4.98,78522.45,21,下穿68
IRM,2015-09-18,16.7,2015-10-14,17.47,99073,4.63,76636.79,26,下穿68
MPWR,2015-10-14,51.55,2015-11-13,57.3,33573,11.16,193115.57,30,下穿68
MTD,2015-11-13,328.19,2015-12-02,336.12,5861,2.42,46477.69,19,下穿68
PWR,2015-12-03,22.5,2015-12-04,21.13,87561,-6.1,-120243.39,1,下穿68
TTWO,2015-12-04,36.49,2015-12-09,35.59,50699,-2.47,-45629.18,5,下穿68
AMAT,2015-12-09,16.92,2015-12-10,16.67,106649,-1.47,-26549.35,1,下穿68
ULTA,2015-12-14,185.54,2015-12-24,184.93,9582,-0.33,-5845.03,10,下穿68
TKO,2015-12-24,16.22,2015-12-31,15.42,109231,-4.95,-87798.07,7,下穿68
LULU,2016-01-04,55.86,2016-01-08,53.91,30150,-3.49,-58792.52,4,下穿68
RMD,2016-01-26,52.34,2016-01-28,49.89,31052,-4.69,-76284.13,2,下穿68
ATO,2016-01-28,52.71,2016-02-26,55.36,29390,5.04,78056.65,29,下穿68
PWR,2016-02-26,19.82,2016-03-24,21.87,82082,10.34,168273.52,27,下穿68
STLD,2016-03-24,18.26,2016-04-07,18.34,98318,0.41,7298.54,14,下穿68
IQV,2016-04-07,70.16,2016-04-20,69.72,25694,-0.63,-11305.42,13,下穿68
BLDR,2016-04-20,12.2,2016-04-26,12.14,146840,-0.49,-8810.32,6,下穿68
URI,2016-04-26,64.65,2016-05-03,61.35,27574,-5.1,-90861.22,7,下穿68
ABBV,2016-05-03,41.25,2016-05-13,41.4,41015,0.37,6300.01,10,下穿68
TPL,2016-05-13,16.12,2016-05-17,15.68,105350,-2.74,-46593.27,4,下穿68
TRGP,2016-05-17,28.48,2016-05-18,27.39,57979,-3.86,-63707.25,1,下穿68
AXON,2016-05-18,20.78,2016-06-13,22.75,76409,9.48,150525.68,26,下穿68
DXCM,2016-06-14,18.35,2016-07-07,19.55,94730,6.55,113912.77,23,下穿68
VMC,2016-07-07,112.0,2016-07-26,114.34,16538,2.09,38774.56,19,下穿68
COHR,2016-07-26,20.22,2016-08-03,20.39,93520,0.84,15898.41,8,下穿68
LITE,2016-08-03,30.77,2016-08-17,32.0,61972,4.0,76225.53,14,下穿68
TKO,2016-08-17,18.37,2016-08-29,18.37,107927,-0.05,-945.9,12,下穿68
LITE,2016-08-29,34.53,2016-10-11,40.73,57404,17.96,355904.84,43,下穿68
MET,2016-10-12,30.74,2016-10-17,30.19,76063,-1.79,-41821.53,5,下穿68
NXPI,2016-10-17,89.65,2016-10-19,89.78,25614,0.15,3414.95,2,下穿68
CL=F,2016-10-19,51.6,2016-10-24,50.52,44567,-2.09,-48132.27,5,下穿68
GDDY,2016-10-24,36.82,2016-10-26,36.32,61149,-1.36,-30574.5,2,下穿68
RF,2016-10-26,7.6,2016-11-02,7.43,292147,-2.23,-49584.21,7,下穿68
BG,2016-11-02,51.94,2016-11-11,48.54,41803,-6.55,-142317.8,9,下穿68
ERIE,2016-11-11,87.27,2016-11-30,87.78,23251,0.59,11998.02,19,下穿68
SYF,2016-11-30,27.72,2016-12-28,29.07,73627,4.86,99217.57,28,下穿68
CL=F,2016-12-28,54.06,2017-01-03,52.33,39590,-3.2,-68490.68,6,下穿68
CF,2017-01-04,25.88,2017-01-17,25.77,80041,-0.45,-9406.06,13,下穿68
TPL,2017-01-17,32.69,2017-01-23,31.34,63091,-4.11,-84826.79,6,下穿68
ADSK,2017-01-23,81.54,2017-01-26,81.64,24252,0.12,2425.16,3,下穿68
TTD,2017-01-26,3.08,2017-01-30,2.97,643267,-3.35,-66256.61,4,下穿68
NVR,2017-01-30,1876.83,2017-03-21,2037.26,1019,8.55,163478.22,50,下穿68
ANET,2017-03-22,8.16,2017-04-03,8.23,254597,0.89,18458.34,12,下穿68
NRG,2017-04-04,15.52,2017-04-07,15.22,135024,-1.96,-41068.92,3,下穿68
CMG,2017-04-10,9.09,2017-04-28,9.49,226136,4.44,91313.72,18,下穿68
TRMB,2017-04-28,35.43,2017-05-17,34.46,60567,-2.74,-58750.06,19,下穿68
WDAY,2017-05-18,95.44,2017-06-09,97.97,21868,2.65,55326.01,22,下穿68
DECK,2017-06-09,11.67,2017-06-15,11.46,183536,-1.83,-39154.31,6,下穿68
PODD,2017-06-15,46.77,2017-07-12,50.47,44971,7.91,166392.73,27,下穿68
CTRA,2017-07-12,18.23,2017-07-18,18.03,124520,-1.08,-24425.76,6,下穿68
SMCI,2017-07-18,2.65,2017-07-21,2.57,847279,-3.02,-67782.46,3,下穿68
COHR,2017-07-21,38.2,2017-07-26,38.45,57002,0.65,14250.5,5,下穿68
KIM,2017-07-26,12.81,2017-08-02,13.0,171131,1.52,33308.64,7,下穿68
RL,2017-08-03,64.42,2017-08-18,71.43,34537,10.87,241960.57,15,下穿68
PODD,2017-08-21,55.79,2017-09-11,58.32,44219,4.53,111874.02,21,下穿68
TTD,2017-09-11,6.06,2017-09-21,5.95,425772,-1.7,-43854.59,10,下穿68
NTAP,2017-09-21,33.67,2017-10-11,35.15,75294,4.41,111829.73,20,下穿68
PODD,2017-10-11,60.35,2017-10-24,59.65,43858,-1.16,-30700.47,13,下穿68
WSM,2017-10-24,22.12,2017-10-30,21.62,118260,-2.26,-59097.97,6,下穿68
FIX,2017-10-30,40.54,2017-11-10,39.18,63083,-3.35,-85616.77,11,下穿68
NRG,2017-11-10,23.4,2017-11-27,23.75,105606,1.48,36613.87,17,下穿68
TECH,2017-11-27,31.76,2017-12-04,31.13,78960,-2.01,-50362.06,7,下穿68
CVNA,2017-12-04,20.21,2017-12-18,21.53,121608,6.53,160522.75,14,下穿68
STX,2017-12-18,30.83,2018-01-09,33.77,84912,9.51,249088.4,22,下穿68
RL,2018-01-09,89.88,2018-02-01,95.45,31902,6.2,177788.57,23,下穿68
LYV,2018-02-01,45.97,2018-02-02,44.73,66241,-2.7,-82138.95,1,下穿68
XYL,2018-02-02,68.52,2018-02-05,65.8,43242,-3.97,-117484.35,3,下穿68
BG,2018-02-06,64.31,2018-02-08,62.29,44247,-3.14,-89277.52,2,下穿68
LITE,2018-02-09,57.2,2018-03-19,69.05,48185,20.72,570992.36,38,下穿68
FDS,2018-03-20,198.73,2018-03-22,190.34,16742,-4.22,-140566.79,2,下穿68
PODD,2018-03-26,87.2,2018-03-28,84.97,36544,-2.56,-81492.96,2,下穿68
CVNA,2018-03-28,22.61,2018-04-11,22.68,137335,0.31,9613.41,14,下穿68
AXON,2018-04-11,42.78,2018-04-23,42.74,72808,-0.09,-2912.11,12,下穿68
CL=F,2018-04-23,68.64,2018-05-01,67.25,45335,-2.03,-63015.62,8,下穿68
ZBH,2018-05-01,106.66,2018-05-14,105.06,28585,-1.5,-45621.68,13,下穿68
TTD,2018-05-14,7.49,2018-06-06,8.63,400855,15.15,454970.33,23,下穿68
COHR,2018-06-06,47.3,2018-06-15,46.55,73111,-1.59,-54833.25,9,下穿68
TKO,2018-06-15,57.05,2018-07-30,71.46,59655,25.26,859654.26,45,下穿68
RF,2018-07-30,13.79,2018-08-13,13.88,309203,0.69,29447.79,14,下穿68
FICO,2018-08-14,216.14,2018-09-19,227.96,19859,5.47,234733.53,36,下穿68
APA,2018-09-19,38.33,2018-09-21,37.64,118110,-1.79,-81256.49,2,下穿68
NDSN,2018-09-21,133.94,2018-09-25,132.18,33194,-1.31,-58457.22,4,下穿68
CL=F,2018-09-25,72.28,2018-10-08,74.29,60701,2.78,122009.14,13,下穿68
NG=F,2018-10-08,3.27,2018-10-11,3.22,1380311,-1.38,-62114.1,3,下穿68
AES,2018-10-16,11.71,2018-10-18,11.29,379660,-3.65,-162142.35,2,下穿68
OMC,2018-10-18,58.14,2018-10-24,55.89,73701,-3.87,-165961.36,6,下穿68
PM,2018-10-24,60.55,2018-10-31,59.78,68029,-1.27,-52184.1,7,下穿68
DOC,2018-10-31,18.63,2018-11-26,19.7,218259,5.71,232223.23,26,下穿68
PHM,2018-11-26,24.14,2018-12-10,23.56,178093,-2.41,-103419.27,14,下穿68
RMD,2018-12-10,105.66,2018-12-17,103.65,39712,-1.9,-79530.35,7,下穿68
DLTR,2019-01-02,91.2,2019-01-16,93.86,45135,2.92,120059.27,14,下穿68
STLD,2019-01-16,28.78,2019-02-08,30.86,147183,7.23,306137.54,23,下穿68
TECH,2019-02-08,44.41,2019-03-06,46.31,102292,4.27,194189.12,26,下穿68
MLM,2019-03-07,187.55,2019-03-13,181.57,25256,-3.19,-151027.3,6,下穿68
IR,2019-03-13,26.18,2019-03-14,25.5,175170,-2.6,-119110.31,1,下穿68
SMCI,2019-03-14,2.0,2019-05-02,2.24,2229953,11.88,530728.63,49,下穿68
TTD,2019-05-02,22.52,2019-05-09,18.99,221945,-15.65,-782134.22,7,下穿68
HSIC,2019-05-09,69.26,2019-05-14,67.31,60860,-2.82,-118677.28,5,下穿68
IR,2019-05-14,32.54,2019-05-24,33.31,125876,2.35,96290.26,10,下穿68
AIZ,2019-05-24,89.35,2019-06-24,93.82,46923,5.0,209533.93,31,下穿68
LITE,2019-06-24,50.78,2019-07-03,53.83,86694,6.01,264416.96,9,下穿68
FICO,2019-07-03,331.4,2019-07-31,347.42,14081,4.83,225577.9,28,下穿68
UNP,2019-07-31,154.9,2019-08-02,149.37,31583,-3.57,-174812.02,2,下穿68
WST,2019-08-06,136.01,2019-08-30,142.93,34685,5.09,239931.22,24,下穿68
MRNA,2019-08-30,15.73,2019-09-05,15.53,315159,-1.27,-63031.74,6,下穿68
MPC,2019-09-05,42.95,2019-10-08,48.96,113945,13.99,684548.02,33,下穿68
MPC,2019-10-11,51.91,2019-10-30,54.18,107477,4.37,243673.54,19,下穿68
NG=F,2019-10-30,2.69,2019-11-11,2.64,2163746,-2.01,-116842.07,12,下穿68
STLD,2019-11-11,28.46,2019-11-13,27.69,200495,-2.7,-154067.28,2,下穿68
DECK,2019-11-13,27.45,2019-11-20,26.71,202273,-2.69,-149345.17,7,下穿68
EIX,2019-11-20,53.07,2019-11-26,51.63,101803,-2.71,-146257.93,6,下穿68
STLD,2019-11-26,29.76,2019-12-16,30.0,176636,0.83,43684.3,20,下穿68
CL=F,2019-12-16,60.21,2020-01-02,61.18,88022,1.61,85381.45,17,下穿68
